,fiscal_year,year,parent_id,classification_description,Sequence_Level_Number,current_fiscal_year_to_date_gross_outlays_amount,parent_cls_desc,parent_class_helper,subclass_helper
29,2015,2015,15697840.0,Animal and Plant Health Inspection Service,2,1710880896.0,Department of Agriculture:,,3.0
30,2015,2015,15697840.0,Food Safety and Inspection Service,2,990334016.0,Department of Agriculture:,,3.0
31,2015,2015,15697840.0,Agricultural Marketing Service,2,1063114560.0,Department of Agriculture:,,3.0
32,2015,2015,15697840.0,Risk Management Agency:,2,,Department of Agriculture:,,3.0
33,2015,2015,15697874.0,Administrative and Operating Expenses,3,77073584.0,Department of Agriculture:,,3.0
34,2015,2015,15697874.0,Federal Crop Insurance Corporation Fund,3,10762283008.0,Department of Agriculture:,,3.0
35,2015,2015,15697840.0,Farm Service Agency:,2,,Department of Agriculture:,,3.0
36,2015,2015,15697888.0,Salaries and Expenses,3,1169491840.0,Department of Agriculture:,,3.0
37,2015,2015,15697888.0,USDA Supplemental Assistance,3,1876082.375,Department of Agriculture:,,3.0
38,2015,2015,15697888.0,Agricultural Disaster Relief Fund,3,889013.875,Department of Agriculture:,,3.0
39,2015,2015,15697888.0,Commodity Credit Corporation,3,12467168256.0,Department of Agriculture:,,3.0
40,2015,2015,15697888.0,Tobacco Trust Fund,3,260974400.0,Department of Agriculture:,,3.0
41,2015,2015,15697888.0,Agricultural Credit Insurance Fund,3,514904064.0,Department of Agriculture:,,3.0
42,2015,2015,15697888.0,Other,3,95874152.0,Department of Agriculture:,,3.0
43,2015,2015,15697888.0,Total--Farm Service Agency,3,14511177728.0,Department of Agriculture:,,3.0
44,2015,2015,15697840.0,Natural Resources Conservation Service:,2,,Department of Agriculture:,,3.0
45,2015,2015,15697923.0,Conservation Operations,3,740752896.0,Department of Agriculture:,,3.0
46,2015,2015,15697923.0,Farm Security and Rural Investment Programs,3,2652668416.0,Department of Agriculture:,,3.0
47,2015,2015,15697923.0,Other,3,104682744.0,Department of Agriculture:,,3.0
48,2015,2015,15697840.0,Rural Development,2,227967072.0,Department of Agriculture:,,3.0
49,2015,2015,15697840.0,Rural Housing Service:,2,,Department of Agriculture:,,3.0
50,2015,2015,15697945.0,Rural Housing Insurance Fund,3,1597735936.0,Department of Agriculture:,,3.0
51,2015,2015,15697945.0,Rental Assistance Program,3,1139665280.0,Department of Agriculture:,,3.0
52,2015,2015,15697945.0,Other,3,285101728.0,Department of Agriculture:,,3.0
53,2015,2015,15697840.0,Rural Utilities Service:,2,,Department of Agriculture:,,3.0
54,2015,2015,15697969.0,Rural Electrification and Telecommunications Fund,3,2847992832.0,Department of Agriculture:,,3.0
55,2015,2015,15697969.0,Other,3,1281748480.0,Department of Agriculture:,,3.0
56,2015,2015,15697840.0,Foreign Agricultural Service,2,1372195712.0,Department of Agriculture:,,3.0
57,2015,2015,15697840.0,Food and Nutrition Service:,2,,Department of Agriculture:,,3.0
58,2015,2015,15697999.0,Supplemental Nutrition Assistance Program,3,76142174208.0,Department of Agriculture:,,3.0
59,2015,2015,15697999.0,Child Nutrition Programs,3,21022296064.0,Department of Agriculture:,,3.0
60,2015,2015,15697999.0,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",3,6348700160.0,Department of Agriculture:,,3.0
61,2015,2015,15697999.0,Other,3,443660064.0,Department of Agriculture:,,3.0
62,2015,2015,15697999.0,Total--Food and Nutrition Service,3,103956832256.0,Department of Agriculture:,,3.0
63,2015,2015,15697840.0,Forest Service:,2,,Department of Agriculture:,,3.0
64,2015,2015,15698028.0,National Forest System,3,1532467072.0,Department of Agriculture:,,3.0
65,2015,2015,15698028.0,Capital Improvement and Maintenance,3,345594624.0,Department of Agriculture:,,3.0
66,2015,2015,15698028.0,Wildland Fire Management,3,2623611904.0,Department of Agriculture:,,3.0
67,2015,2015,15698028.0,Forest Service Permanent Appropriations,3,464838208.0,Department of Agriculture:,,3.0
68,2015,2015,15698028.0,Other,3,955493056.0,Department of Agriculture:,,3.0
69,2015,2015,15698028.0,Total--Forest Service,3,5922004992.0,Department of Agriculture:,,3.0
70,2015,2015,15697840.0,Other,2,739949568.0,Department of Agriculture:,,3.0
71,2015,2015,15697840.0,Proprietary Receipts from the Public,2,,Department of Agriculture:,,3.0
72,2015,2015,15697840.0,Intrabudgetary Transactions,2,-2243011.5,Department of Agriculture:,,3.0
73,2015,2015,15697840.0,Total--Department of Agriculture,2,154422231040.0,Department of Agriculture:,,3.0
74,2015,2015,,Department of Commerce:,1,,Department of Commerce:,4.0,0.0
75,2015,2015,15698052.0,Economic Development Administration,2,321712480.0,Department of Commerce:,,4.0
76,2015,2015,15698052.0,Bureau of the Census,2,1105216256.0,Department of Commerce:,,4.0
77,2015,2015,15698052.0,International Trade Administration,2,468482784.0,Department of Commerce:,,4.0
78,2015,2015,15698052.0,National Oceanic and Atmospheric Administration,2,5671917056.0,Department of Commerce:,,4.0
79,2015,2015,15698052.0,National Institute of Standards and Technology,2,776263552.0,Department of Commerce:,,4.0
80,2015,2015,15698052.0,National Telecommunications and Information Administration,2,448734848.0,Department of Commerce:,,4.0
81,2015,2015,15698052.0,Other,2,511535904.0,Department of Commerce:,,4.0
82,2015,2015,15698052.0,Proprietary Receipts from the Public,2,,Department of Commerce:,,4.0
83,2015,2015,15698052.0,Intrabudgetary Transactions,2,-1010823.875,Department of Commerce:,,4.0
84,2015,2015,15698052.0,Offsetting Governmental Receipts,2,,Department of Commerce:,,4.0
85,2015,2015,15698052.0,Total--Department of Commerce,2,9302851584.0,Department of Commerce:,,4.0
86,2015,2015,,Department of Defense--Military Programs:,1,,Department of Defense--Military Programs:,5.0,0.0
87,2015,2015,15698067.0,Military Personnel:,2,,Department of Defense--Military Programs:,,5.0
88,2015,2015,15698068.0,Department of the Army,3,59054374912.0,Department of Defense--Military Programs:,,5.0
89,2015,2015,15698068.0,Department of the Navy,3,45794177024.0,Department of Defense--Military Programs:,,5.0
90,2015,2015,15698068.0,Department of the Air Force,3,34161313792.0,Department of Defense--Military Programs:,,5.0
91,2015,2015,15698068.0,Defense Agencies,3,6197440000.0,Department of Defense--Military Programs:,,5.0
92,2015,2015,15698068.0,Total--Military Personnel,3,145207312384.0,Department of Defense--Military Programs:,,5.0
93,2015,2015,15698067.0,Operation and Maintenance:,2,,Department of Defense--Military Programs:,,5.0
94,2015,2015,15698074.0,Department of the Army,3,68318896128.0,Department of Defense--Military Programs:,,5.0
95,2015,2015,15698074.0,Department of the Navy,3,54331523072.0,Department of Defense--Military Programs:,,5.0
96,2015,2015,15698074.0,Department of the Air Force,3,53945999360.0,Department of Defense--Military Programs:,,5.0
97,2015,2015,15698074.0,Defense Agencies,3,70640656384.0,Department of Defense--Military Programs:,,5.0
98,2015,2015,15698074.0,Total--Operation and Maintenance,3,247237066752.0,Department of Defense--Military Programs:,,5.0
99,2015,2015,15698067.0,International Reconstruction and Other Assistance:,2,,Department of Defense--Military Programs:,,5.0
100,2015,2015,15698080.0,Department of the Army,3,-6288.3798828125,Department of Defense--Military Programs:,,5.0
101,2015,2015,15698067.0,Procurement:,2,,Department of Defense--Military Programs:,,5.0
102,2015,2015,15698082.0,Department of the Army,3,18182832128.0,Department of Defense--Military Programs:,,5.0
103,2015,2015,15698082.0,Department of the Navy,3,40616210432.0,Department of Defense--Military Programs:,,5.0
104,2015,2015,15698082.0,Department of the Air Force,3,35827765248.0,Department of Defense--Military Programs:,,5.0
105,2015,2015,15698082.0,Defense Agencies,3,6716192256.0,Department of Defense--Military Programs:,,5.0
106,2015,2015,15698082.0,Total--Procurement,3,101343002624.0,Department of Defense--Military Programs:,,5.0
107,2015,2015,15698067.0,"Research, Development, Test, and Evaluation:",2,,Department of Defense--Military Programs:,,5.0
108,2015,2015,15698088.0,Department of the Army,3,7281063424.0,Department of Defense--Military Programs:,,5.0
109,2015,2015,15698088.0,Department of the Navy,3,16159877120.0,Department of Defense--Military Programs:,,5.0
110,2015,2015,15698088.0,Department of the Air Force,3,22757273600.0,Department of Defense--Military Programs:,,5.0
111,2015,2015,15698088.0,Defense Agencies,3,17927129088.0,Department of Defense--Military Programs:,,5.0
112,2015,2015,15698088.0,"Total--Research, Development, Test, and Evaluation",3,64125345792.0,Department of Defense--Military Programs:,,5.0
113,2015,2015,15698067.0,Military Construction:,2,,Department of Defense--Military Programs:,,5.0
114,2015,2015,15698094.0,Department of the Army,3,2130965504.0,Department of Defense--Military Programs:,,5.0
115,2015,2015,15698094.0,Department of the Navy,3,1697123456.0,Department of Defense--Military Programs:,,5.0
116,2015,2015,15698094.0,Department of the Air Force,3,915328448.0,Department of Defense--Military Programs:,,5.0
117,2015,2015,15698094.0,Defense Agencies,3,3372212736.0,Department of Defense--Military Programs:,,5.0
118,2015,2015,15698094.0,Total--Military Construction,3,8115630080.0,Department of Defense--Military Programs:,,5.0
119,2015,2015,15698067.0,Family Housing:,2,,Department of Defense--Military Programs:,,5.0
120,2015,2015,15698100.0,Department of the Army,3,400172128.0,Department of Defense--Military Programs:,,5.0
121,2015,2015,15698100.0,Department of the Navy,3,357112960.0,Department of Defense--Military Programs:,,5.0
122,2015,2015,15698100.0,Department of the Air Force,3,365071488.0,Department of Defense--Military Programs:,,5.0
123,2015,2015,15698100.0,Defense Agencies,3,92029016.0,Department of Defense--Military Programs:,,5.0
124,2015,2015,15698067.0,Revolving and Management Funds:,2,,Department of Defense--Military Programs:,,5.0
125,2015,2015,15698105.0,Department of the Navy,3,706398976.0,Department of Defense--Military Programs:,,5.0
126,2015,2015,15698105.0,Defense Agencies:,3,,Department of Defense--Military Programs:,,5.0
127,2015,2015,15698109.0,Working Capital Fund,4,-3404748032.0,Department of Defense--Military Programs:,,5.0
128,2015,2015,15698109.0,Other,4,1263185.0,Department of Defense--Military Programs:,,5.0
129,2015,2015,15698067.0,Allowances,2,28590690.0,Department of Defense--Military Programs:,,5.0
130,2015,2015,15698067.0,Trust Funds:,2,,Department of Defense--Military Programs:,,5.0
131,2015,2015,15698113.0,Department of the Army,3,6322221.0,Department of Defense--Military Programs:,,5.0
132,2015,2015,15698113.0,Department of the Navy,3,23694094.0,Department of Defense--Military Programs:,,5.0
133,2015,2015,15698113.0,Department of the Air Force,3,46604384.0,Department of Defense--Military Programs:,,5.0
134,2015,2015,15698113.0,Defense Agencies,3,232542688.0,Department of Defense--Military Programs:,,5.0
135,2015,2015,15698067.0,Proprietary Receipts from the Public:,2,,Department of Defense--Military Programs:,,5.0
136,2015,2015,15698118.0,Department of the Army,3,,Department of Defense--Military Programs:,,5.0
137,2015,2015,15698118.0,Department of the Navy,3,,Department of Defense--Military Programs:,,5.0
138,2015,2015,15698118.0,Department of the Air Force,3,,Department of Defense--Military Programs:,,5.0
139,2015,2015,15698118.0,Defense Agencies,3,,Department of Defense--Military Programs:,,5.0
140,2015,2015,15698067.0,Intrabudgetary Transactions:,2,,Department of Defense--Military Programs:,,5.0
141,2015,2015,15698123.0,Department of the Army,3,-127804552.0,Department of Defense--Military Programs:,,5.0
142,2015,2015,15698123.0,Department of the Navy,3,-35449320.0,Department of Defense--Military Programs:,,5.0
143,2015,2015,15698123.0,Department of the Air Force,3,166798848.0,Department of Defense--Military Programs:,,5.0
144,2015,2015,15698123.0,Defense Agencies,3,-157989472.0,Department of Defense--Military Programs:,,5.0
145,2015,2015,15698067.0,Offsetting Governmental Receipts:,2,,Department of Defense--Military Programs:,,5.0
146,2015,2015,15698128.0,Department of the Army,3,,Department of Defense--Military Programs:,,5.0
147,2015,2015,15698067.0,Total--Department of Defense--Military Programs,2,564728954880.0,Department of Defense--Military Programs:,,5.0
148,2015,2015,,Department of Education:,1,,Department of Education:,6.0,0.0
149,2015,2015,15698132.0,Office of Elementary and Secondary Education:,2,,Department of Education:,,6.0
150,2015,2015,15698133.0,Accelerating Achievement and Ensuring Equity,3,15248459776.0,Department of Education:,,6.0
151,2015,2015,15698133.0,Impact Aid,3,1401015936.0,Department of Education:,,6.0
152,2015,2015,15698133.0,Education Improvement Programs,3,4264017920.0,Department of Education:,,6.0
153,2015,2015,15698133.0,"State Fiscal Stabilization Fund, Recovery Act",3,1102845312.0,Department of Education:,,6.0
154,2015,2015,15698133.0,Other,3,385388992.0,Department of Education:,,6.0
155,2015,2015,15698133.0,Total--Office of Elementary and Secondary Education,3,22401728512.0,Department of Education:,,6.0
156,2015,2015,15698132.0,Office of Innovation and Improvement,2,1456596224.0,Department of Education:,,6.0
157,2015,2015,15698132.0,Office of English Language Acquisition,2,679639936.0,Department of Education:,,6.0
158,2015,2015,15698132.0,Office of Special Education and Rehabilitative Services:,2,,Department of Education:,,6.0
159,2015,2015,15698142.0,Special Education,3,12266707968.0,Department of Education:,,6.0
160,2015,2015,15698142.0,Rehabilitation Services and Disability Research,3,3323634432.0,Department of Education:,,6.0
161,2015,2015,15698142.0,Special Institutions for Persons with Disabilities,3,216515840.0,Department of Education:,,6.0
162,2015,2015,15698132.0,Office of Vocational and Adult Education,2,1655592960.0,Department of Education:,,6.0
163,2015,2015,15698132.0,Office of Postsecondary Education:,2,,Department of Education:,,6.0
164,2015,2015,15698147.0,Higher Education,3,2128207104.0,Department of Education:,,6.0
165,2015,2015,15698147.0,Other,3,255493040.0,Department of Education:,,6.0
166,2015,2015,15698147.0,Total--Office of Postsecondary Education,3,2383700224.0,Department of Education:,,6.0
167,2015,2015,15698132.0,Office of Federal Student Aid:,2,,Department of Education:,,6.0
168,2015,2015,15698151.0,Student Financial Assistance,3,31592458240.0,Department of Education:,,6.0
169,2015,2015,15698151.0,Student Aid Administration,3,1387659264.0,Department of Education:,,6.0
170,2015,2015,15698151.0,Federal Student Loan Reserve Fund,3,-91450784.0,Department of Education:,,6.0
171,2015,2015,15698151.0,Federal Direct Student Loans,3,23660742656.0,Department of Education:,,6.0
172,2015,2015,15698151.0,Federal Family Education Loans,3,1007337728.0,Department of Education:,,6.0
173,2015,2015,15698151.0,Other,3,16309315.0,Department of Education:,,6.0
174,2015,2015,15698151.0,Total--Office of Federal Student Aid,3,57573056512.0,Department of Education:,,6.0
175,2015,2015,15698132.0,Institute of Education Sciences,2,621940352.0,Department of Education:,,6.0
176,2015,2015,15698132.0,Departmental Management,2,575677120.0,Department of Education:,,6.0
177,2015,2015,15698132.0,Other,2,262951.46875,Department of Education:,,6.0
178,2015,2015,15698132.0,Proprietary Receipts from the Public,2,,Department of Education:,,6.0
179,2015,2015,15698132.0,Intrabudgetary Transactions,2,-24031284.0,Department of Education:,,6.0
180,2015,2015,15698132.0,Total--Department of Education,2,103131021312.0,Department of Education:,,6.0
181,2015,2015,,Department of Energy:,1,,Department of Energy:,7.0,0.0
182,2015,2015,15698165.0,National Nuclear Security Administration:,2,,Department of Energy:,,7.0
183,2015,2015,15698166.0,Naval Reactors,3,1112296192.0,Department of Energy:,,7.0
184,2015,2015,15698166.0,Weapons Activities,3,7552971776.0,Department of Energy:,,7.0
185,2015,2015,15698166.0,Defense Nuclear Nonproliferation,3,1849440384.0,Department of Energy:,,7.0
186,2015,2015,15698166.0,Other,3,354491136.0,Department of Energy:,,7.0
187,2015,2015,15698165.0,Environmental and Other Defense Activities:,2,,Department of Energy:,,7.0
188,2015,2015,15698171.0,Defense Environmental Cleanup,3,5498646528.0,Department of Energy:,,7.0
189,2015,2015,15698171.0,Other Defense Activities,3,832066944.0,Department of Energy:,,7.0
190,2015,2015,15698171.0,Defense Nuclear Waste Disposal,3,3130250.25,Department of Energy:,,7.0
191,2015,2015,15698165.0,Energy Programs:,2,,Department of Energy:,,7.0
192,2015,2015,15698176.0,Science,3,4932470784.0,Department of Energy:,,7.0
193,2015,2015,15698176.0,Energy Supply,3,1442193280.0,Department of Energy:,,7.0
194,2015,2015,15698176.0,Energy Efficiency and Renewable Energy,3,1877528320.0,Department of Energy:,,7.0
195,2015,2015,15698176.0,Fossil Energy Research and Development,3,799717952.0,Department of Energy:,,7.0
196,2015,2015,15698176.0,Uranium Enrichment Decontamination and Decommissioning Fund,3,632984256.0,Department of Energy:,,7.0
197,2015,2015,15698176.0,Advanced Technology Vehicles Manufacturing Loan Program,3,19200112.0,Department of Energy:,,7.0
198,2015,2015,15698176.0,Title 17 Innovative Technology Loan Guarantee Program,3,103171328.0,Department of Energy:,,7.0
199,2015,2015,15698176.0,Other,3,930590400.0,Department of Energy:,,7.0
200,2015,2015,15698176.0,Total--Energy Programs,3,10737856512.0,Department of Energy:,,7.0
201,2015,2015,15698165.0,Power Marketing Administration,2,3537172736.0,Department of Energy:,,7.0
202,2015,2015,15698165.0,Departmental Administration,2,178885344.0,Department of Energy:,,7.0
203,2015,2015,15698165.0,Proprietary Receipts from the Public,2,,Department of Energy:,,7.0
204,2015,2015,15698165.0,Intrabudgetary Transactions,2,-1930809984.0,Department of Energy:,,7.0
205,2015,2015,15698165.0,Offsetting Governmental Receipts,2,,Department of Energy:,,7.0
206,2015,2015,15698165.0,Total--Department of Energy,2,29726148608.0,Department of Energy:,,7.0
207,2015,2015,,Department of Health and Human Services:,1,,Department of Health and Human Services:,8.0,0.0
208,2015,2015,15698192.0,Food and Drug Administration,2,2398973952.0,Department of Health and Human Services:,,8.0
209,2015,2015,15698192.0,Health Resources and Services Administration,2,9123441664.0,Department of Health and Human Services:,,8.0
210,2015,2015,15698192.0,Indian Health Service,2,4549517312.0,Department of Health and Human Services:,,8.0
211,2015,2015,15698192.0,Centers for Disease Control and Prevention,2,7017959936.0,Department of Health and Human Services:,,8.0
212,2015,2015,15698192.0,National Institutes of Health,2,29293686784.0,Department of Health and Human Services:,,8.0
213,2015,2015,15698192.0,Substance Abuse and Mental Health Services Administration,2,3141408768.0,Department of Health and Human Services:,,8.0
214,2015,2015,15698192.0,Agency for Healthcare Research and Quality,2,174453440.0,Department of Health and Human Services:,,8.0
215,2015,2015,15698192.0,Centers for Medicare and Medicaid Services:,2,,Department of Health and Human Services:,,8.0
216,2015,2015,15698200.0,Grants to States for Medicaid,3,349762060288.0,Department of Health and Human Services:,,8.0
217,2015,2015,15698200.0,Payments to Health Care Trust Funds,3,284813852672.0,Department of Health and Human Services:,,8.0
218,2015,2015,15698200.0,Children's Health Insurance Fund,3,9233062912.0,Department of Health and Human Services:,,8.0
219,2015,2015,15698200.0,State Grants and Demonstrations,3,568037760.0,Department of Health and Human Services:,,8.0
220,2015,2015,15698200.0,Federal Hospital Insurance Trust Fund:,3,,Department of Health and Human Services:,,8.0
221,2015,2015,15698206.0,Benefit Payments,4,274391252992.0,Department of Health and Human Services:,,8.0
222,2015,2015,15698206.0,Administrative Expenses,4,7543164928.0,Department of Health and Human Services:,,8.0
223,2015,2015,15698206.0,Total--Federal Hospital Insurance Trust Fund,4,281934430208.0,Department of Health and Human Services:,,8.0
224,2015,2015,15698200.0,Health Care Fraud and Abuse Control,3,1575327104.0,Department of Health and Human Services:,,8.0
225,2015,2015,15698200.0,Federal Supplementary Medical Insurance Trust Fund:,3,,Department of Health and Human Services:,,8.0
226,2015,2015,15698215.0,Benefit Payments,4,275817168896.0,Department of Health and Human Services:,,8.0
227,2015,2015,15698215.0,Administrative Expenses,4,5148030464.0,Department of Health and Human Services:,,8.0
228,2015,2015,15698215.0,Medicare Prescription Drugs:,4,,Department of Health and Human Services:,,8.0
229,2015,2015,15698221.0,Benefit Payments,5,75455610880.0,Department of Health and Human Services:,,8.0
230,2015,2015,15698221.0,Administrative Expenses,5,516703040.0,Department of Health and Human Services:,,8.0
231,2015,2015,15698215.0,Total--Federal Supplementary Medical Insurance Trust Fund,4,356937498624.0,Department of Health and Human Services:,,8.0
232,2015,2015,15698200.0,Other,3,11906727936.0,Department of Health and Human Services:,,8.0
233,2015,2015,15698200.0,Total--Centers for Medicare and Medicaid Services,3,1296730947584.0,Department of Health and Human Services:,,8.0
234,2015,2015,15698192.0,Administration for Children and Families:,2,,Department of Health and Human Services:,,8.0
235,2015,2015,15698233.0,Temporary Assistance for Needy Families,3,15941697536.0,Department of Health and Human Services:,,8.0
236,2015,2015,15698233.0,Contingency Fund,3,730127040.0,Department of Health and Human Services:,,8.0
237,2015,2015,15698233.0,Payments to States for Child Support Enforcement and Family Support Programs,3,4039588352.0,Department of Health and Human Services:,,8.0
238,2015,2015,15698233.0,Low Income Home Energy Assistance,3,3437346048.0,Department of Health and Human Services:,,8.0
239,2015,2015,15698233.0,Refugee and Entrant Assistance,3,1269610368.0,Department of Health and Human Services:,,8.0
240,2015,2015,15698233.0,Child Care Entitlement to States,3,2820384512.0,Department of Health and Human Services:,,8.0
241,2015,2015,15698233.0,Payments to States for the Child Care and Development Block Grant,3,2312697344.0,Department of Health and Human Services:,,8.0
242,2015,2015,15698233.0,Social Services Block Grant,3,1831397120.0,Department of Health and Human Services:,,8.0
243,2015,2015,15698233.0,Children and Families Services Programs,3,9975042048.0,Department of Health and Human Services:,,8.0
244,2015,2015,15698233.0,Payments to States for Foster Care and Adoption Assistance,3,7313998336.0,Department of Health and Human Services:,,8.0
245,2015,2015,15698233.0,Other,3,557519168.0,Department of Health and Human Services:,,8.0
246,2015,2015,15698233.0,Total--Administration for Children and Families,3,50229407744.0,Department of Health and Human Services:,,8.0
247,2015,2015,15698192.0,Administration for Community Living,2,1680187520.0,Department of Health and Human Services:,,8.0
248,2015,2015,15698192.0,Departmental Management,2,2699604992.0,Department of Health and Human Services:,,8.0
249,2015,2015,15698192.0,Other,2,690072576.0,Department of Health and Human Services:,,8.0
250,2015,2015,15698192.0,Proprietary Receipts from the Public,2,,Department of Health and Human Services:,,8.0
251,2015,2015,15698192.0,Intrabudgetary Transactions:,2,,Department of Health and Human Services:,,8.0
252,2015,2015,15698267.0,Payments for Health Insurance for the Aged:,3,,Department of Health and Human Services:,,8.0
253,2015,2015,15698269.0,Federal Supplementary Medical Insurance Trust Fund,4,-263485603840.0,Department of Health and Human Services:,,8.0
254,2015,2015,15698267.0,Payments for Tax and Other Credits:,3,,Department of Health and Human Services:,,8.0
255,2015,2015,15698273.0,Federal Hospital Insurance Trust Fund,4,-21354670080.0,Department of Health and Human Services:,,8.0
256,2015,2015,15698267.0,Other,3,-176625440.0,Department of Health and Human Services:,,8.0
257,2015,2015,15698192.0,Total--Department of Health and Human Services,2,1122712813568.0,Department of Health and Human Services:,,8.0
258,2015,2015,,Department of Homeland Security:,1,,Department of Homeland Security:,9.0,0.0
259,2015,2015,15698281.0,Departmental Management and Operations,2,1017713152.0,Department of Homeland Security:,,9.0
260,2015,2015,15698281.0,Citizenship and Immigration Services,2,3179321344.0,Department of Homeland Security:,,9.0
261,2015,2015,15698281.0,United States Secret Service,2,1842263424.0,Department of Homeland Security:,,9.0
262,2015,2015,15698281.0,Transportation Security Administration,2,5171184128.0,Department of Homeland Security:,,9.0
263,2015,2015,15698281.0,Immigration and Customs Enforcement,2,5848239104.0,Department of Homeland Security:,,9.0
264,2015,2015,15698281.0,U.S. Customs and Border Protection,2,12613667840.0,Department of Homeland Security:,,9.0
265,2015,2015,15698281.0,United States Coast Guard,2,10525211648.0,Department of Homeland Security:,,9.0
266,2015,2015,15698281.0,National Protection and Programs Directorate,2,1475475456.0,Department of Homeland Security:,,9.0
267,2015,2015,15698281.0,Federal Emergency Management Agency:,2,,Department of Homeland Security:,,9.0
268,2015,2015,15698299.0,State and Local Programs,3,2283507968.0,Department of Homeland Security:,,9.0
269,2015,2015,15698299.0,Firefighter Assistance Grants,3,635348736.0,Department of Homeland Security:,,9.0
270,2015,2015,15698299.0,Disaster Relief,3,6136849408.0,Department of Homeland Security:,,9.0
271,2015,2015,15698299.0,National Flood Insurance Fund,3,1138411008.0,Department of Homeland Security:,,9.0
272,2015,2015,15698299.0,Other,3,1331491072.0,Department of Homeland Security:,,9.0
273,2015,2015,15698299.0,Total--Federal Emergency Management Agency,3,11525608448.0,Department of Homeland Security:,,9.0
274,2015,2015,15698281.0,Science and Technology,2,809969344.0,Department of Homeland Security:,,9.0
275,2015,2015,15698281.0,Domestic Nuclear Detection Office,2,301809568.0,Department of Homeland Security:,,9.0
276,2015,2015,15698281.0,Other,2,384563040.0,Department of Homeland Security:,,9.0
277,2015,2015,15698281.0,Proprietary Receipts from the Public,2,,Department of Homeland Security:,,9.0
278,2015,2015,15698281.0,Intrabudgetary Transactions,2,117243904.0,Department of Homeland Security:,,9.0
279,2015,2015,15698281.0,Offsetting Governmental Receipts,2,,Department of Homeland Security:,,9.0
280,2015,2015,15698281.0,Total--Department of Homeland Security,2,54812270592.0,Department of Homeland Security:,,9.0
281,2015,2015,,Department of Housing and Urban Development:,1,,Department of Housing and Urban Development:,10.0,0.0
282,2015,2015,15698327.0,Public and Indian Housing Programs:,2,,Department of Housing and Urban Development:,,10.0
283,2015,2015,15698329.0,Tenant Based Rental Assistance,3,18479194112.0,Department of Housing and Urban Development:,,10.0
284,2015,2015,15698329.0,Housing Certificate Fund,3,259334688.0,Department of Housing and Urban Development:,,10.0
285,2015,2015,15698329.0,Public Housing Capital Fund,3,1927992192.0,Department of Housing and Urban Development:,,10.0
286,2015,2015,15698329.0,Public Housing Operating Fund,3,4404179456.0,Department of Housing and Urban Development:,,10.0
